

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
166.644  000.187  000.187: require('cmp.utils.highlight')
167.028  000.682  000.495: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
167.868  000.473  000.473: require('vim.version')
169.566  002.355  001.882: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
170.380  000.511  000.511: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
170.559  000.055  000.055: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
170.797  000.041  000.041: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
171.391  000.389  000.389: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
171.546  000.035  000.035: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/todo-comments.nvim/plugin/todo.vim
171.861  000.123  000.123: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-smoothie/plugin/smoothie.vim
172.474  000.451  000.451: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
173.813  000.267  000.267: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/vsnip.vim
174.237  000.091  000.091: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Position.vim
174.486  000.024  000.024: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip.vim
174.817  001.505  001.123: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/snippet.vim
175.260  000.135  000.135: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/TextEdit.vim
175.807  000.077  000.077: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Text.vim
176.322  000.126  000.126: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Buffer.vim
176.822  000.059  000.059: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/Vim/Option.vim
177.373  000.140  000.140: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vital/_vsnip/VS/LSP/Diff.vim
177.559  004.461  002.420: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip/session.vim
177.762  004.872  000.411: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/autoload/vsnip.vim
178.064  005.426  000.554: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vim-vsnip/plugin/vsnip.vim
179.151  000.595  000.595: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/vars.vim
180.817  000.246  000.246: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/u.vim
185.387  000.059  000.059: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/markdown_base.vim
185.694  002.200  002.140: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/base.vim
186.067  000.153  000.153: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/autoload/vimwiki/path.vim
188.847  010.620  007.426: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/vimwiki/plugin/vimwiki.vim
189.103  004.820: loading packages
190.083  000.094  000.094: require('cmp_buffer.timer')
190.089  000.354  000.259: require('cmp_buffer.buffer')
190.092  000.524  000.170: require('cmp_buffer.source')
190.094  000.609  000.085: require('cmp_buffer')
190.199  000.751  000.142: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
190.597  000.276  000.276: require('cmp_cmdline')
190.641  000.343  000.067: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
190.785  000.044  000.044: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
191.163  000.268  000.268: require('cmp_path')
191.206  000.330  000.062: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
191.489  000.159  000.159: require('cmp_vsnip')
191.575  000.266  000.106: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cmp-vsnip/after/plugin/cmp_vsnip.lua
191.580  000.744: loading after plugins
191.597  000.018: inits 3
193.692  002.094: reading ShaDa
193.842  000.150: opening buffers
194.860  001.018: BufEnter autocommands
194.863  000.004: editing files in windows
200.022  001.509  001.509: require('vim.filetype')
202.006  001.164  001.164: require('vim.filetype.detect')
202.512  000.032  000.032: sourcing /snap/nvim/2809/usr/share/nvim/runtime/ftplugin/text.vim
